cluster2,numero_de_cliente
1,4572841
1,4625139
1,4659863
1,4673799
1,4692840
1,4694128
1,4704876
1,4722798
1,4765260
1,4803286
1,4817467
1,4868323
1,4900924
1,4905689
1,4918102
1,4934111
1,4956024
1,4999610
1,5015174
1,5102837
1,5108818
1,5112554
1,5132877
1,5147008
1,5153467
1,5161167
1,5182954
1,5199513
1,5232189
1,5274352
1,5303073
1,5303682
1,5310722
1,5343907
1,5382008
1,5409745
1,5429745
1,5459103
1,5489605
1,5515262
1,5517367
1,5584248
1,5602809
1,5626732
1,5639223
1,5650504
1,5651855
1,5661019
1,5663705
1,5676821
1,5690220
1,5692438
1,5719051
1,5727583
1,5749659
1,5753206
1,5768245
1,5785455
1,5789617
1,5797019
1,5806104
1,5828117
1,5880111
1,5898502
1,5927436
1,5927445
1,5974475
1,5976520
1,6000798
1,6002592
1,6014829
1,6052151
1,6054237
1,6116808
1,6119290
1,6168698
1,6176988
1,6191138
1,6205919
1,6210889
1,6222491
1,6250778
1,6295919
1,6297079
1,6304644
1,6331602
1,6378782
1,6399944
1,6446000
1,6475590
1,6477359
1,6506469
1,6552006
1,6568377
1,6679492
1,6719544
1,6732736
1,6733235
1,6737276
1,6742852
1,6745378
1,6814169
1,6973156
1,6977466
1,6990783
1,7057046
1,7084343
1,7113811
1,7124719
1,7128976
1,7140826
1,7206105
1,7247919
1,7268497
1,7286492
1,7299134
1,7304650
1,7308913
1,7385612
1,7388465
1,7425953
1,7455695
1,7456788
1,7501719
1,7505715
1,7542130
1,7543930
1,7589926
1,7594588
1,7615637
1,7635692
1,7640820
1,7717732
1,7758639
1,7781588
1,7869273
1,7887538
1,7890224
1,7913306
1,7923751
1,7931100
1,7966370
1,7978651
1,7983746
1,8013752
1,8030342
1,8045183
1,8095722
1,8137797
1,8140992
1,8150895
1,8177806
1,8235448
1,8334634
1,8382647
1,8525473
1,8532928
1,8630848
1,8650527
1,8653345
1,8673580
1,8708801
1,8790234
1,8828854
1,8863644
1,8959195
1,8961300
1,8984717
1,9028068
1,9030547
1,9048401
1,9065177
1,9079232
1,9081463
1,9099756
1,9105176
1,9508826
1,10525182
1,10912553
1,11282796
1,11974147
1,12410147
1,12426310
1,12440843
1,12464920
1,12500961
1,12566105
1,12601083
1,12610948
1,12701997
1,12762344
1,12782702
1,12834774
1,12839207
1,12843818
1,12852753
1,12860818
1,12978109
1,13068427
1,13216386
1,13264877
1,13305812
1,13311994
1,13313128
1,13331158
1,13452584
1,13523681
1,13526414
1,13576158
1,13592661
1,13601583
1,13619402
1,13620822
1,13635289
1,13636417
1,13659552
1,13673598
1,13680051
1,13681706
1,13689309
1,13699183
1,13734460
1,13741013
1,13790258
1,13816210
1,13852945
1,13861412
1,13876315
1,13884157
1,13917065
1,14023653
1,14028167
1,14052138
1,14060918
1,14095353
1,14107439
1,14146753
1,14150938
1,14184418
1,14208432
1,14240586
1,14262238
1,14274434
1,14285212
1,14321960
1,14337922
1,14413327
1,14413848
1,14414935
1,14422035
1,14445776
1,14446731
1,14467111
1,14475194
1,14513553
1,14518171
1,14525723
1,14538082
1,14559593
1,14561591
1,14589944
1,14593466
1,14825067
1,14890478
1,14903855
1,14939264
1,14944570
1,14996463
1,15049977
1,15052845
1,15063127
1,15103830
1,15115133
1,15160674
1,15243185
1,15269244
1,15280846
1,15294971
1,15302093
1,15304964
1,15339983
1,15397622
1,15397691
1,15401043
1,15515155
1,15524034
1,15529211
1,15583626
1,15618432
1,15620367
1,15672386
1,15740737
1,15766021
1,15792454
1,15886014
1,15904248
1,15958572
1,15987516
1,15989127
1,16014125
1,16015011
1,16025982
1,16029406
1,16049961
1,16054246
1,16084861
1,16173457
1,16175964
1,16183815
1,16293853
1,16323572
1,16357259
1,16415570
1,16452864
1,16492222
1,16496488
1,16547602
1,16560131
1,16702407
1,16718056
1,16786985
1,16915172
1,16916249
1,16981472
1,17043879
1,17074359
1,17159251
1,17213214
1,17224867
1,17311314
1,17315495
1,17404204
1,17560458
1,17577514
1,17630968
1,17689207
1,17737738
1,17746465
1,17795568
1,17847288
1,17971296
1,18028492
1,18044719
1,18069481
1,18100165
1,18113758
1,18121326
1,18136824
1,18141244
1,18160681
1,18161639
1,18181105
1,18187564
1,18193448
1,18226171
1,18261438
1,18283558
1,18292672
1,18301368
1,18325266
1,18376097
1,18386797
1,18424116
1,18474489
1,18687357
1,18722696
1,18804196
1,18808342
1,18817742
1,18851627
1,18907921
1,18914381
1,19027481
1,19033378
1,19042002
1,19045759
1,19062723
1,19095500
1,19097378
1,19132080
1,19144047
1,19150829
1,19189653
1,19192160
1,19204004
1,19234848
1,19266267
1,19305996
1,19369748
1,19376792
1,19391155
1,19403907
1,19405682
1,19412524
1,19436771
1,19449642
1,19477888
1,19483047
1,19484891
1,19605063
1,19612914
1,19643368
1,19657383
1,19709185
1,19717532
1,19735496
1,19747116
1,19748078
1,19763427
1,19763644
1,19771866
1,19831119
1,19869953
1,19884558
1,19970135
1,20002493
1,20020784
1,20028022
1,20046309
1,20139410
1,20142505
1,20227192
1,20252108
1,20283578
1,20294278
1,20304472
1,20306706
1,20369924
1,20371410
1,20470006
1,20470242
1,20494152
1,20508227
1,20517608
1,20605952
1,20607878
1,20626388
1,20636435
1,20638487
1,20654528
1,20685557
1,20696883
1,20801253
1,20804997
1,20819989
1,20839878
1,20842681
1,20934249
1,20955209
1,20966689
1,20969369
1,21053472
1,21093644
1,21172937
1,21211532
1,21218161
1,21376532
1,21388806
1,21392736
1,21396518
1,21416945
1,21459397
1,21498595
1,21502710
1,21505912
1,21552847
1,21555568
1,21570625
1,21571804
1,21585146
1,21592224
1,21609854
1,21648367
1,21671690
1,21713650
1,21737457
1,21750086
1,21763510
1,21770877
1,21816113
1,21852866
1,21871298
1,21879167
1,21904636
1,22039712
1,22183930
1,22240460
1,22264751
1,22459630
1,22462046
1,22513977
1,22549235
1,22579944
1,22615491
1,22690025
1,22690641
1,22708042
1,22807235
1,22827894
1,22840353
1,22877754
1,22890094
1,22899965
1,22946853
1,22949913
1,22991031
1,23056080
1,23131212
1,23149433
1,23172304
1,23224803
1,23248707
1,23305074
1,23324787
1,23372674
1,23456615
1,23518385
1,23553891
1,23556464
1,23567104
1,23741526
1,23773893
1,23990418
1,24031033
1,24085257
1,24113741
1,24122704
1,24215963
1,24231454
1,24353200
1,24450018
1,24558242
1,24605404
1,24616205
1,24707352
1,24710738
1,24722947
1,24738300
1,24746612
1,24754633
1,24784192
1,24802793
1,24803324
1,24815155
1,24827703
1,24875622
1,25005197
1,25037062
1,25048438
1,25052204
1,25089307
1,25101455
1,25116117
1,25116987
1,25169203
1,25259314
1,25267155
1,25339340
1,25375870
1,25378254
1,25388546
1,25404600
1,25419937
1,25521470
1,25554334
1,25632959
1,25681409
1,25691801
1,25718897
1,25767960
1,25777519
1,25878782
1,25958761
1,26031071
1,26096746
1,26106843
1,26109014
1,26196900
1,26280046
1,26363640
1,26375223
1,26627364
1,26643748
1,26679386
1,26701628
1,26708191
1,26759694
1,26772201
1,26832749
1,27045501
1,27073216
1,27166930
1,27188720
1,27208182
1,27281079
1,27289285
1,27291324
1,27293498
1,27325310
1,27388352
1,27396919
1,27529991
1,27628496
1,27691924
1,27692546
1,27740104
1,27807101
1,27822197
1,27841455
1,27864294
1,27949158
1,28055209
1,28069764
1,28133601
1,28139158
1,28159466
1,28279663
1,28424698
1,28433259
1,28446818
1,28449601
1,28458859
1,28470031
1,28486298
1,28570804
1,28589220
1,28610074
1,28617086
1,28618638
1,28755165
1,28786810
1,28834735
1,28907699
1,28934380
1,28978856
1,29032941
1,29056931
1,29086041
1,29089223
1,29109417
1,29124236
1,29125003
1,29267135
1,29312132
1,29343676
1,29356921
1,29364778
1,29380785
1,29386031
1,29458844
1,29499116
1,29516637
1,29522980
1,29539878
1,29548128
1,29615239
1,29636089
1,29673123
1,29689550
1,29723193
1,29801177
1,29928145
1,29957229
1,30032109
1,30047428
1,30129351
1,30131465
1,30151037
1,30184524
1,30276742
1,30287992
1,30289905
1,30301915
1,30377037
1,30390512
1,30422911
1,30442891
1,30482023
1,30495658
1,30498230
1,30516995
1,30540944
1,30554817
1,30732395
1,30736992
1,30737881
1,30804463
1,30805786
1,30811598
1,30831186
1,30856953
1,30867330
1,30879689
1,30880685
1,30971577
1,30992010
1,30992909
1,31034114
1,31045562
1,31136659
1,31153818
1,31165753
1,31216672
1,31253472
1,31269557
1,31297562
1,31351958
1,31355009
1,31432041
1,31551914
1,31563255
1,31596761
1,31630705
1,31632339
1,31634054
1,31647061
1,31700194
1,31754701
1,31876808
1,31938585
1,31977478
1,32011115
1,32040664
1,32096192
1,32184166
1,32219811
1,32281226
1,32297948
1,32357563
1,32466646
1,32666470
1,32694411
1,32728576
1,32737661
1,32782800
1,32790349
1,32869300
1,32930989
1,32969951
1,33010455
1,33034646
1,33090214
1,33112702
1,33153919
1,33168839
1,33191750
1,33194025
1,33203139
1,33348148
1,33363269
1,33375389
1,33398379
1,33504807
1,33506723
1,33523393
1,33527715
1,33542660
1,33553420
1,33708341
1,33803224
1,33871478
1,33996636
1,34059172
1,34076841
1,34084958
1,34104543
1,34202517
1,34279084
1,34289699
1,34301355
1,34393937
1,34424703
1,34464529
1,34484886
1,34746647
1,34812360
1,34852607
1,35030879
1,35088151
1,35094572
1,35123343
1,35124970
1,35143763
1,35203994
1,35206218
1,35326525
1,35389690
1,35469848
1,35489819
1,35513613
1,35549487
1,35591770
1,35603846
1,35670932
1,35757781
1,35860574
1,35868045
1,35924816
1,35966417
1,35996482
1,36124446
1,36126632
1,36132721
1,36497629
1,36527785
1,36586260
1,36667875
1,36678089
1,36746051
1,36808575
1,36842152
1,36862148
1,36873279
1,36982465
1,36982958
1,37088261
1,37117990
1,37147487
1,37220142
1,37341276
1,37447386
1,37448307
1,37452020
1,37509838
1,37540343
1,37650616
1,37663745
1,37690970
1,37698506
1,37715257
1,37920994
1,37980251
1,38002053
1,38013822
1,38075761
1,38098384
1,38119279
1,38217934
1,38298817
1,38315628
1,38415622
1,38431091
1,38600102
1,38666946
1,38757160
1,38962674
1,38972029
1,39186261
1,39227114
1,39320749
1,39336093
1,39354647
1,39362997
1,39483418
1,39536391
1,39549749
1,39702704
1,39704523
1,39761081
1,39868850
1,39936772
1,39940513
1,40213857
1,40222006
1,40333658
1,40363727
1,40447994
1,40462159
1,40475219
1,40545424
1,40611708
1,40778640
1,40811658
1,40934287
1,40940011
1,41043077
1,41109930
1,41180607
1,41417989
1,41436342
1,41436643
1,41525946
1,41565716
1,41879089
1,41980431
1,42083843
1,42112397
1,42139295
1,42219714
1,42220816
1,42287628
1,42444740
1,42452826
1,42613496
1,42617904
1,42709843
1,42713842
1,42777161
1,42801552
1,42875980
1,42890500
1,42950476
1,42970941
1,42973664
1,43017053
1,43064139
1,43137866
1,43286554
1,43316601
1,43321856
1,43342183
1,43545277
1,43729874
1,43788267
1,43823987
1,43837558
1,43843552
1,43989567
1,44051655
1,44069687
1,44113506
1,44127873
1,44172603
1,44277340
1,44301967
1,44329723
1,44341781
1,44420013
1,44489502
1,44542076
1,44548058
1,44582596
1,44589753
1,44648912
1,45072443
1,45407057
1,45464925
