,numero_de_cliente,foto_mes,active_quarter,cliente_vip,internet,cliente_edad,cliente_antiguedad,mrentabilidad,mrentabilidad_annual,mcomisiones,mactivos_margen,mpasivos_margen,cproductos,tpaquete1,tpaquete2,tpaquete3,tpaquete4,tcuentas,ccuenta_corriente,mcuenta_corriente_adicional,mcuenta_corriente,ccaja_ahorro,mcaja_ahorro,mcaja_ahorro_adicional,mcaja_ahorro_dolares,mdescubierto_preacordado,mcuentas_saldo,ctarjeta_debito,ctarjeta_debito_transacciones,mautoservicio,ctarjeta_visa,ctarjeta_visa_transacciones,mtarjeta_visa_consumo,ctarjeta_master,ctarjeta_master_transacciones,mtarjeta_master_consumo,cprestamos_personales,mprestamos_personales,cprestamos_prendarios,mprestamos_prendarios,cprestamos_hipotecarios,mprestamos_hipotecarios,cplazo_fijo,mplazo_fijo_dolares,mplazo_fijo_pesos,cinversion1,minversion1_pesos,minversion1_dolares,cinversion2,minversion2,cseguro_vida,cseguro_auto,cseguro_vivienda,cseguro_accidentes_personales,ccaja_seguridad,cpayroll_trx,mpayroll,mpayroll2,cpayroll2_trx,ccuenta_debitos_automaticos,mcuenta_debitos_automaticos,ctarjeta_visa_debitos_automaticos,mttarjeta_visa_debitos_automaticos,ctarjeta_master_debitos_automaticos,mttarjeta_master_debitos_automaticos,cpagodeservicios,mpagodeservicios,cpagomiscuentas,mpagomiscuentas,ccajeros_propios_descuentos,mcajeros_propios_descuentos,ctarjeta_visa_descuentos,mtarjeta_visa_descuentos,ctarjeta_master_descuentos,mtarjeta_master_descuentos,ccomisiones_mantenimiento,mcomisiones_mantenimiento,ccomisiones_otras,mcomisiones_otras,cforex,cforex_buy,mforex_buy,cforex_sell,mforex_sell,ctransferencias_recibidas,mtransferencias_recibidas,ctransferencias_emitidas,mtransferencias_emitidas,cextraccion_autoservicio,mextraccion_autoservicio,ccheques_depositados,mcheques_depositados,ccheques_emitidos,mcheques_emitidos,ccheques_depositados_rechazados,mcheques_depositados_rechazados,ccheques_emitidos_rechazados,mcheques_emitidos_rechazados,tcallcenter,ccallcenter_transacciones,thomebanking,chomebanking_transacciones,ccajas_transacciones,ccajas_consultas,ccajas_depositos,ccajas_extracciones,ccajas_otras,catm_trx,matm,catm_trx_other,matm_other,ctrx_quarter,tmobile_app,cmobile_app_trx,Master_delinquency,Master_status,Master_mfinanciacion_limite,Master_Fvencimiento,Master_Finiciomora,Master_msaldototal,Master_msaldopesos,Master_msaldodolares,Master_mconsumospesos,Master_mconsumosdolares,Master_mlimitecompra,Master_madelantopesos,Master_madelantodolares,Master_fultimo_cierre,Master_mpagado,Master_mpagospesos,Master_mpagosdolares,Master_fechaalta,Master_mconsumototal,Master_cconsumos,Master_cadelantosefectivo,Master_mpagominimo,Visa_delinquency,Visa_status,Visa_mfinanciacion_limite,Visa_Fvencimiento,Visa_Finiciomora,Visa_msaldototal,Visa_msaldopesos,Visa_msaldodolares,Visa_mconsumospesos,Visa_mconsumosdolares,Visa_mlimitecompra,Visa_madelantopesos,Visa_madelantodolares,Visa_fultimo_cierre,Visa_mpagado,Visa_mpagospesos,Visa_mpagosdolares,Visa_fechaalta,Visa_mconsumototal,Visa_cconsumos,Visa_cadelantosefectivo,Visa_mpagominimo,clase_ternaria
1,4572294,201801,1,0,0,43,57,1526.27,21269.3,948.96,400.64,92.79,11,1,0,0,0,1,1,0,-6512.61,2,0,0,0,1.17,-6868.23,1,0,0,1,13,14098.78,1,14,10747.97,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0,1,16064.1,0,0,1,58.59,1,3315.89,2,1072.5,0,0,0,0,0,0,4,1103.6,0,0,0,0,10,948.96,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,99,NA,NA,0,0,25272,-1580,NA,22895.18,22895.18,0,3757.64,0,28080,0,0,7,0,-2246.4,0,1718,3757.64,7,0,2000.7,0,0,25272,-1945,NA,11454.21,13401.42,0,9956.93,0,28080,0,0,7,0,-28108.25,0,1718,9956.93,11,0,1088.1,CONTINUA
2,4572294,201802,1,0,1,43,58,1566.79,21534.42,372.46,918.6,102.19,11,1,0,0,0,1,1,0,-1789.11,2,1126.71,0,0,1.17,-2477.96,1,0,0,1,5,1614.24,1,9,8147.01,4,122076.65,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0,1,23643.36,0,0,1,58.59,0,0,2,1702.13,0,0,0,0,0,0,0,0,0,0,0,0,12,372.46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,89,NA,NA,0,0,25272,-1552,NA,30246.41,30246.41,0,1970.06,0,28080,0,0,7,0,-2000.7,0,1746,1970.06,3,0,4972.5,0,0,25272,-1917,NA,12563.87,14699.72,0,-0.83,2.15,28080,0,0,7,0,-1088.1,0,1746,-0.83,2,0,1415.7,CONTINUA
3,4572294,201803,1,0,0,43,59,2305.6,22388.79,793.48,1145.24,147.17,11,1,0,0,0,1,1,0,-3418.22,2,744.97,0,0,1.17,-6907.01,1,0,0,1,7,7747.89,1,12,10963,4,117944.13,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0,1,25535.25,0,0,1,58.59,1,3315.89,3,2172.29,0,0,0,0,0,0,0,0,1,NA,0,0,10,793.48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,83,NA,NA,0,0,25272,-1521,NA,37732.66,37732.66,0,4786.07,0,28080,0,0,10,0,-4972.5,0,1777,4786.07,6,0,12460.5,0,0,25272,-1886,NA,6878.7,8048.07,0,3315.42,2.1,28080,0,0,10,0,-14699.72,0,1777,3315.42,3,0,865.8,CONTINUA
4,4572294,201804,1,0,1,43,60,1131.1,22442.97,350.66,432.34,234.71,11,1,0,0,0,1,1,0,-5192.21,2,1370.74,0,0,1.17,-6163.33,1,1,304.2,1,9,22215.99,1,7,6148.74,3,115864.72,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0,1,40002.3,0,0,1,58.59,0,0,3,2289.32,0,0,0,0,1,0,1,0,0,0,0,0,14,350.66,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,71,NA,NA,0,0,25272,-1491,NA,28123.73,28123.73,0,2289.32,0,28080,0,0,12,0,-17068.86,0,1807,2289.32,3,0,2843.1,0,0,25272,-1856,NA,19404.2,22702.91,0,17783.42,2.11,28080,0,0,12,0,-8048.07,0,1807,17783.42,5,0,1638,CONTINUA
5,4572294,201805,1,0,1,43,61,1349.92,22548.05,507.48,720.03,0,11,1,0,0,0,1,1,0,-5596.15,2,0,0,0,1.17,-6350.78,1,2,257.13,1,7,9160.76,1,9,7513.93,3,110829.1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0,1,36191.61,0,0,1,68.93,1,3315.89,3,2406.3,0,0,0,0,0,0,0,0,0,0,0,0,12,507.48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,1,7,0,0,0,0,0,0,0,0,0,85,NA,NA,0,0,25272,-1460,NA,-1375.75,-1375.75,0,2674.23,0,28080,0,0,8,0,-37483.73,0,1838,2674.23,4,0,0,0,0,25272,-1825,NA,27047.11,31645.11,0,5116.15,3.34,28080,0,0,8,0,-1638,0,1838,5116.15,4,0,6364.8,CONTINUA
6,4572294,201806,1,0,1,43,62,1318.92,22313.88,785.43,-46.9,502.88,11,1,0,0,0,1,1,0,-3121.79,2,3830.39,0,0,1.17,-5836.45,1,5,3161.02,1,5,4043.01,1,13,13381.71,3,107876.74,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0,1,35174.88,0,0,1,68.93,0,0,3,2722.2,0,0,1,3489.63,1,44.75,0,0,1,0,0,0,14,785.43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,8,0,0,0,0,0,0,0,0,0,90,NA,NA,0,0,25272,-1430,NA,12373.74,12373.74,0,5660.07,0,28080,0,0,10,0,0,0,1868,5660.07,6,0,0,0,0,25272,-1795,NA,16361.86,19143.37,0,-1.32,2.98,28080,0,0,10,0,-17550,0,1868,-1.32,2,0,1965.6,CONTINUA
7,4572294,201807,1,0,1,43,63,738.27,20684.92,419.12,-180.2,452.97,11,1,0,0,0,1,1,0,-3962.5,2,2475.98,0,0,1.17,-6838.36,1,4,4083.59,1,10,14466.16,1,18,15620.26,3,104846.4,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0,2,58433.31,0,0,1,68.93,1,3315.89,3,2605.21,1,1898.11,0,0,1,0,0,0,2,0,0,0,12,419.12,0,0,0,0,0,0,0,0,0,4,11700,0,0,0,0,0,0,0,0,1,2,1,26,0,0,0,0,0,4,11700,0,0,107,NA,NA,1,0,25272,-1399,0,16014.91,16014.91,0,6643.93,0,28080,0,0,13,0,-12373.74,0,1899,6643.93,9,0,1404,0,0,25272,-1764,NA,12744.9,14911.53,0,7755.45,2.97,28080,0,0,13,0,-19143.37,0,1899,7755.45,6,0,1228.5,CONTINUA
8,4572294,201808,1,0,1,43,64,1315.93,19818.59,764.12,-197.32,668.95,11,1,0,0,0,1,1,0,-4331.1,2,484.32,0,0,1.17,-6915.35,1,0,0,1,15,19326.23,1,20,20797.9,3,101736,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0,1,37431.81,0,0,1,68.93,0,0,3,2605.21,0,0,0,0,0,0,0,0,0,0,0,0,10,764.12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,111,NA,NA,0,0,25272,-1368,NA,21433.7,21433.7,0,9197.39,0,28080,0,0,9,0,-16014.91,0,1930,9197.39,10,0,1801.8,0,0,25272,-1733,NA,16990.56,19878.95,0,7569.49,2.74,28080,0,0,9,0,-14911.53,0,1930,7569.49,5,0,1638,CONTINUA
9,4572294,201809,1,0,1,44,65,1015.81,18843.97,573.01,-460.94,839.4,11,1,0,0,0,1,1,0,-2412.87,2,885.58,0,0,1.17,-4040.22,1,0,0,1,17,17880.65,1,19,17405.71,3,98543.43,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0,1,36367.11,0,0,1,68.93,3,4427.39,3,2523.31,0,0,0,0,0,0,0,0,0,0,0,0,10,573.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,110,NA,NA,0,0,29062.8,-1338,NA,17821.79,17821.79,0,2850.31,0,28080,0,0,11,0,-21433.7,0,1960,2850.31,4,0,1462.5,0,0,29062.8,-1703,NA,28272.21,33078.48,0,7879.43,2.07,28080,0,0,11,0,-5850,0,1960,7879.43,7,0,7803.9,CONTINUA
10,4572294,201810,1,0,1,44,66,2332.34,19123.75,918.95,709.6,498.43,11,1,0,0,0,1,1,0,-3417.76,2,1889.11,0,0,1.17,-6641.84,1,0,0,1,15,11672.3,1,21,19589.07,3,95266.52,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0,1,47317.14,0,0,1,68.95,1,555.75,4,3209.7,0,0,0,0,0,0,1,496.08,0,0,0,0,10,918.95,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,96,NA,NA,0,0,25272,-1307,NA,20031.34,20031.34,0,5458.01,0,28080,0,0,7,0,-17821.79,0,1991,5458.01,6,0,1602.9,0,0,25272,-1672,NA,27645.07,32344.73,0,56.89,2.26,28080,0,0,7,0,-14040,0,1991,56.89,4,0,7066.8,CONTINUA
