filename,weight
1_E1006_961_epic_037_06000.csv,0.1
1_E1006_961_epic_037_06500.csv,0.1
1_E1006_961_epic_037_07000.csv,0.1
1_E1006_961_epic_037_07500.csv,0.1
1_E1006_961_epic_037_08000.csv,0.1
1_E1006_961_epic_037_08500.csv,0.1
1_E1006_961_epic_037_09000.csv,0.1
1_E1006_961_epic_037_09186.csv,0.1
1_E1006_961_epic_037_09500.csv,0.1
1_E1006_961_epic_037_10000.csv,0.1
1_E1006_961_epic_037_10500.csv,0.1
1_E1006_961_epic_037_11000.csv,0.1
1_E1006_961_epic_037_11500.csv,0.1
1_E1006_961_epic_037_12000.csv,0.1
1_E1006_961_epic_037_12500.csv,0.1
1_E1006_961_epic_113_10321.csv,0.1
1_E1006_961_epic_113_11000.csv,0.1
1_E1006_961_epic_113_11500.csv,0.1
1_E1006_961_epic_037_13000.csv,0.3
1_E1006_961_epic_037_13500.csv,0.3
1_E1006_961_epic_037_14000.csv,0.3
1_E1006_961_epic_037_14500.csv,0.3
1_E1006_961_epic_037_15000.csv,0.3
1_E1006_961_epic_113_07500.csv,0.3
1_E1006_961_epic_113_08000.csv,0.3
1_E1006_961_epic_113_08500.csv,0.3
1_E1006_961_epic_113_09000.csv,0.3
1_E1006_961_epic_113_09500.csv,0.3
1_E1006_961_epic_113_10000.csv,0.3
1_E1006_961_epic_113_10500.csv,0.3
1_E1006_961_epic_113_12000.csv,0.3
1_E1006_961_epic_113_12500.csv,0.3
1_E1006_961_epic_113_13000.csv,0.3
1_E1006_961_epic_113_13500.csv,0.3
1_E1006_961_epic_113_14000.csv,0.3
1_E1006_961_epic_113_14500.csv,0.3
1_E1006_961_epic_113_15000.csv,0.3
E5008_962_epic_043_05000.csv,0.4
E5008_962_epic_043_05500.csv,0.4
E5008_962_epic_043_06000.csv,0.4
E5008_962_epic_043_06500.csv,0.4
E5008_962_epic_043_07000.csv,0.4
E5008_962_epic_043_07500.csv,0.4
E5008_962_epic_043_08000.csv,0.4
E5008_962_epic_043_08188.csv,0.4
E5008_962_epic_043_08500.csv,0.4
E5008_962_epic_043_09000.csv,0.4
E5008_962_epic_043_09500.csv,0.4
E5008_962_epic_043_10000.csv,0.5
E5008_962_epic_043_10500.csv,0.5
E5008_962_epic_043_11000.csv,0.5
E5008_962_epic_043_11500.csv,0.5
E5008_962_epic_043_12000.csv,0.5
E5008_962_epic_043_12500.csv,0.5
E1006_961_epic_037_13000.csv,1.5
E1006_961_epic_037_13500.csv,1.5
E1006_961_epic_037_14000.csv,1.5
E1006_961_epic_037_14500.csv,1.5
E1006_961_epic_037_15000.csv,1.5
E1006_961_epic_113_13000.csv,1.5
E1006_961_epic_113_13500.csv,1.5
E1006_961_epic_113_14000.csv,1.5
E1006_961_epic_113_14500.csv,1.5
E1006_961_epic_113_15000.csv,1.5
E5008_962_epic_043_13000.csv,1.5
E5008_962_epic_043_13500.csv,1.5
E5008_962_epic_043_14000.csv,1.5
E5008_962_epic_043_14500.csv,1.5
E5008_962_epic_043_15000.csv,1.5
E1002_961_epic_050.csv,0.1
E1004_961_epic_075.csv,0.1
E1006_961_epic_037.csv,0.1
E1006_961_epic_113.csv,0.1
E5002_961_epic_081.csv,0.1
E5002_961_epic_081_13000.csv,0.7
E5002_961_epic_081_13500.csv,0.7
E5002_961_epic_081_14000.csv,0.7
E5002_961_epic_081_14500.csv,0.7
E5002_961_epic_081_15000.csv,0.7
E5008_962_epic_043.csv,0.1
E1007_961_epic_042_07000.csv,0.1
E1007_961_epic_042_07500.csv,0.1
E1007_961_epic_042_08000.csv,0.1
E1007_961_epic_042_08500.csv,0.1
E1007_961_epic_042_09000.csv,0.1
E1007_961_epic_042_09500.csv,0.1
E1007_961_epic_042_09960.csv,0.1
E1007_961_epic_042_10000.csv,0.1
E1007_961_epic_042_10500.csv,0.1
E1007_961_epic_042_11000.csv,0.1
E1007_961_epic_042_11500.csv,0.1
E1007_961_epic_042_12000.csv,0.1
E1007_961_epic_042_12500.csv,0.1
E1007_961_epic_042_13000.csv,0.3
E1007_961_epic_042_13500.csv,0.3
E1007_961_epic_042_14000.csv,0.3
E1007_961_epic_042_14500.csv,0.7
E1007_961_epic_042_15000.csv,0.7
E1007_961_epic_042.csv,0
E1002_961_epic_050_05500.csv,0.1
E1002_961_epic_050_06000.csv,0.1
E1002_961_epic_050_06500.csv,0.1
E1002_961_epic_050_07000.csv,0.1
E1002_961_epic_050_07500.csv,0.1
E1002_961_epic_050_08000.csv,0.1
E1002_961_epic_050_08500.csv,0.1
E1002_961_epic_050_08577.csv,0.1
E1002_961_epic_050_09000.csv,0.1
E1002_961_epic_050_09500.csv,0.1
E1002_961_epic_050_10000.csv,0.1
E1002_961_epic_050_10500.csv,0.1
E1002_961_epic_050_11000.csv,0.1
E1002_961_epic_050_11500.csv,0.1
E1002_961_epic_050_12000.csv,0.1
E1002_961_epic_050_12500.csv,0.1
E1002_961_epic_050_13000.csv,0.1
E1002_961_epic_050_13500.csv,0.1
E1002_961_epic_050_14000.csv,0.6
E1002_961_epic_050_14500.csv,0.6
E1002_961_epic_050_15000.csv,0.6
